model,id,value,passed
A3 surprise speeds up decreases too,P3,1 x 160 min 1.77 / 4 x 40 min 2.01 / 16 x 10 min 2.78 / 32 x 5 min 2.86,True
A3 surprise speeds up decreases too,P4,1 d 1.53 / 3 d 2.23 / 7 d 2.78 / 14 d 3.01 / 28 d 3.09,True
A3 surprise speeds up decreases too,P5,fragmented / concentrated = 1.53,True
A4 no downward prediction,C1,calm 0.53 vs dense 1.99 (true 0.5 vs 2.0),True
A4 no downward prediction,C2,1.00 (24-h mean rate 0.87),True
A4 no downward prediction,S1,ratio 1.108,False
A4 no downward prediction,C11,0.27 events/min,True
A4 no downward prediction,C3,from calm 102%; from dense 64%,True
A4 no downward prediction,C4,20 min,True
A4 no downward prediction,C4b,4: 20 min / 16: 20 min / 32: 20 min,True
A4 no downward prediction,C5,calm 4.03 vs dense 3.56 events/min,True
A4 no downward prediction,C6,isolated +5.0%; one a day for 28 days +12%,False
A4 no downward prediction,C7,1: 1.11 / 4: 1.47 / 8: 1.98 / 16: 2.85,True
A4 no downward prediction,C8,0.08 vs 0.32 events/min,False
A4 no downward prediction,C9,half-recovery 2.1 d; calm mismatch 2.06 -> 0.31,True
A4 no downward prediction,C10,100%,True
A4 no downward prediction,P1,1.27 / 1.98 / 3.34,True
A4 no downward prediction,P2,2 min 50% / 5 min 94% / 10 min 105% / 20 min 108% / 40 min 105%,True
A4 no downward prediction,P3,1 x 160 min 1.73 / 4 x 40 min 1.98 / 16 x 10 min 2.85 / 32 x 5 min 3.02,True
A4 no downward prediction,P4,1 d 1.60 / 3 d 2.32 / 7 d 2.85 / 14 d 3.04 / 28 d 3.12,True
A4 no downward prediction,P5,fragmented / concentrated = 1.62,True
