setting,w1_low,w1_high,surprise_threshold,surprise_smoothing,w_down0,mu_star,w2,C1,C2,S1,C11,C3,C4,C4b,C5,C6,C7,C8,C12,C9,C10,P1,P2,P3,P4,P5,core_joint,all_joint
random 23,0.063111,0.417758,14.944543,0.269606,0.032249,0.35762,0.00025,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
random 24,0.045891,0.488584,14.770634,0.248894,0.026539,0.476563,0.000121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
random 25,0.029544,0.667598,6.669774,0.238706,0.05491,0.471616,0.000424,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
random 26,0.027697,0.95,6.309717,0.461979,0.037702,0.338134,0.000314,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
random 27,0.081287,0.95,7.32531,0.358402,0.069666,0.139589,0.00029,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
random 28,0.03904,0.437806,10.709886,0.284559,0.055639,0.304357,0.000231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
random 29,0.087679,0.447902,7.461736,0.245787,0.073142,0.308683,0.000154,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
random 30,0.070168,0.95,14.544593,0.167215,0.033548,0.432499,0.000392,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
random 31,0.033244,0.751674,7.196496,0.267128,0.025737,0.184734,0.000168,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
random 32,0.089395,0.79079,6.395074,0.271338,0.049513,0.30244,0.000242,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
random 33,0.044813,0.538498,11.095687,0.580231,0.053811,0.427508,0.000118,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
random 34,0.03313,0.95,11.011002,0.29487,0.041685,0.188225,0.000297,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
random 35,0.041508,0.63989,14.678419,0.556865,0.099125,0.244826,0.00014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
random 36,0.025879,0.694834,5.558278,0.176588,0.03462,0.494481,0.000145,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
random 37,0.029124,0.95,11.843861,0.418366,0.04088,0.456177,0.000448,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
random 38,0.054221,0.95,10.08065,0.275957,0.074271,0.305341,0.000153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
random 39,0.051046,0.358078,16.83332,0.318182,0.026653,0.458667,0.000463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
random 40,0.069477,0.63643,11.351151,0.152143,0.029056,0.197784,0.000205,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
random 41,0.071296,0.443463,5.873163,0.394463,0.085623,0.423177,0.000324,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
random 42,0.097748,0.72177,14.630079,0.267459,0.040796,0.441855,0.00021,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
random 43,0.070366,0.697117,5.841561,0.178846,0.050707,0.333407,0.000324,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
random 44,0.039815,0.354498,10.473277,0.195084,0.038965,0.274124,0.000199,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
random 45,0.047237,0.375359,6.444011,0.481907,0.05083,0.426387,0.00038,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
random 46,0.032677,0.609045,10.363825,0.171712,0.02814,0.401361,0.000364,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
random 47,0.042531,0.932126,10.251722,0.422886,0.038699,0.241162,0.000399,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
random 48,0.077555,0.537879,16.976537,0.260702,0.064383,0.335183,0.000202,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
random 49,0.078686,0.667172,18.939226,0.549592,0.087087,0.440345,0.000142,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
random 50,0.061415,0.95,10.406741,0.312402,0.033053,0.156212,0.000343,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
random 51,0.030762,0.95,5.563779,0.265639,0.025846,0.312244,0.000174,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
random 52,0.047811,0.520628,10.221089,0.373279,0.031509,0.367063,0.000342,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
random 53,0.092295,0.593293,16.774416,0.170803,0.099159,0.167754,0.000194,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0
random 54,0.02846,0.95,9.806879,0.569527,0.03055,0.430368,0.000191,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
random 55,0.03469,0.870353,5.213691,0.310782,0.048204,0.133694,0.000211,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
random 56,0.038152,0.494048,18.157776,0.343797,0.030957,0.357066,0.000193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
random 57,0.057343,0.592668,12.117497,0.386063,0.037038,0.3956,0.000273,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
random 58,0.057856,0.473501,7.110018,0.259497,0.026202,0.134853,0.00029,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
random 59,0.038769,0.949945,5.546513,0.418499,0.033643,0.417284,0.000407,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0
random 60,0.065005,0.604578,5.180976,0.430851,0.054549,0.140105,0.000255,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
random 61,0.025214,0.654371,11.700039,0.456394,0.037403,0.172431,0.000183,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
random 62,0.027138,0.95,16.949822,0.345632,0.027723,0.140365,0.000421,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
random 63,0.02973,0.428321,14.854916,0.227841,0.04423,0.220683,0.000305,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
random 64,0.048119,0.95,9.943863,0.22437,0.032741,0.356019,0.000157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
